network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id,date,snow_water_equivalent,precipitation_cumulative,temperature_max,temperature_min,temperature_mean,precipitation,latitude_copy
SNTL,ID,puhi flat,Granite Creek-Middle Fork Weiser River (170501240401),1979-10-01,2023-11-28,44.77,-116.25,1902,Adams,782,2023-04-13,810.3,833.1,7,-8.7,-1.9,0,44.77
SNTL,ID,schweitzer basin,Middle Fork East River-East River (170102150502),1979-10-01,2023-11-28,48.37,-116.64,1856,Bonner,738,2023-04-26,1328.4,957.6,9.8,1,5.4,2.5,48.37
SNTL,ID,secesh summit,Headwaters North Fork Payette River (170501230101),1979-10-01,2023-11-28,45.19,-115.97,1993,Valley,740,2023-04-26,967.7,866.1,15.5,-3.6,5.9,0,45.19
SNTL,ID,sherwin,West Fork St Maries River (170103040703),1979-10-01,2023-11-28,46.95,-116.34,975,Latah,752,2023-03-14,315,515.6,10,-2.7,2.4,0,46.95
SNTL,ID,stickney mill,Summit Creek (170402180303),1979-10-01,2023-11-28,43.86,-114.21,2265,Custer,792,2023-04-09,327.7,345.4,10.6,-7.8,2.6,0,43.86
SNTL,ID,west branch,Upper Weiser River (170501240201),1979-10-01,2023-11-28,45.07,-116.45,1695,Adams,855,2023-04-10,574,706.1,17.2,4.5,10.3,0,45.07
SNTL,ID,white elephant,Island Park Reservoir (170402020305),1979-10-01,2023-11-28,44.53,-111.41,2350,Fremont,860,2023-04-27,1005.8,1018.5,9.3,-2.5,2.4,0,44.53
SNTL,ID,wildhorse divide,Mink Creek (170402080504),1979-10-01,2023-11-28,42.76,-112.48,1978,Bannock,867,2023-04-10,716.3,764.5,16.8,0.2,6.8,0,42.76
SNTL,MT,kraft creek,Kraft Creek (170102110104),1979-10-01,2023-11-28,47.43,-113.78,1448,Missoula,562,2023-04-07,348,579.1,14.8,-0.8,6,0,47.43
SNTL,NM,gallegos peak,Headwaters Rio Grande de Rancho (130201010502),1979-10-01,2023-11-28,36.19,-105.56,2890,Taos,491,2023-03-29,342.9,442,11.1,-2.8,4.2,0,36.19
SNTL,NM,quemazon,Los Alamos Canyon (130201011303),1979-10-01,2023-11-28,35.92,-106.39,2898,Los Alamos,708,2023-03-28,223.5,368.3,4.1,-11,-2.5,0,35.92
SNTL,NM,senorita divide #2,Headwaters Rio de Las Vacas (130202020102),1979-10-01,2023-11-28,36,-106.83,2612,Rio Arriba,744,2023-03-25,309.9,462.3,-0.5,-13.6,-6.4,5.1,36
SNTL,NV,laurel draw,Trail Creek (170501040202),1979-10-01,2023-11-28,41.78,-116.03,2037,Elko,573,2023-04-07,449.6,505.5,7.6,-4.1,2.2,0,41.78
SNTL,OR,beaver reservoir,Upper Beaver Creek (170601040301),1979-10-01,2023-11-28,45.15,-118.22,1570,Union,331,2023-04-08,406.4,508,7.8,-1.7,3.2,0,45.15
SNTL,OR,big red mountain,Upper Little Applegate River (171003090301),1979-10-01,2023-11-28,42.05,-122.85,1844,Jackson,341,2023-04-21,911.9,1270,6.1,3,4.1,2.5,42.05
SNTL,OR,bigelow camp,Sturgis Fork Carberry Creek (171003090105),1979-10-01,2023-11-28,42.08,-123.34,1564,Josephine,343,2023-04-08,830.6,1506.2,8.1,0.1,3.9,0,42.08
SNTL,OR,blazed alder,Clear Creek-Sandy River (170800010102),1979-10-01,2023-11-28,45.43,-121.86,1113,Clackamas,351,2023-04-21,1244.6,2316.5,7.2,1.1,3,0,45.43
SNTL,OR,cascade summit,Upper Salt Creek (170900010301),1979-10-01,2023-11-28,43.59,-122.06,1554,Deschutes,388,2023-04-22,1110,1364,13.7,1.7,7.3,2.5,43.59
SNTL,OR,chemult alternate,Deer Creek (180102010201),1979-10-01,2023-11-28,43.23,-121.81,1478,Klamath,395,2023-04-06,403.9,563.9,6.3,0.8,2.6,0,43.23
SNTL,OR,clackamas lake,Headwaters Oak Grove Fork Clackamas River (170900110301),1979-10-01,2023-11-28,45.1,-121.75,1036,Clackamas,398,2023-04-07,457.2,919.5,8,-0.4,3.3,2.5,45.1
SNTL,OR,clear lake,Clear Creek (170703060901),1979-10-01,2023-11-28,45.19,-121.69,1161,Wasco,401,2023-04-07,350.5,637.5,6.4,0.4,3.3,5.1,45.19
SNTL,OR,cold springs camp,Upper Fourmile Creek (180102030202),1979-10-01,2023-11-28,42.53,-122.18,1811,Klamath,406,2023-04-10,899.2,845.8,16.4,1.7,7.5,7.6,42.53
SNTL,OR,county line,Middle Meadow Creek (170601040202),1979-10-01,2023-11-28,45.19,-118.55,1472,Umatilla,422,2023-04-04,149.9,348,2.3,-6,-3.2,0,45.19
SNTL,OR,derr.,Jackson Creek (170703040401),1979-10-01,2023-11-28,44.45,-119.93,1783,Wheeler,440,2023-04-08,520.7,571.5,7.6,-2.4,2.4,0,44.45
SNTL,OR,diamond lake,Lake Creek (171003010204),1979-10-01,2023-11-28,43.19,-122.14,1609,Douglas,442,2023-04-08,530.9,927.1,8.4,-1,4.1,2.5,43.19
SNTL,OR,eilertson meadows,Rock Creek (170502030404),1979-10-01,2023-11-28,44.87,-118.11,1679,Baker,464,2023-04-03,434.3,523.2,0,-7.6,-4.2,0,44.87
SNTL,OR,emigrant springs,Iskuulpa Creek (170701030501),1979-10-01,2023-11-28,45.56,-118.45,1158,Umatilla,470,2023-04-06,193,477.5,8.8,0.1,5.3,0,45.56
SNTL,OR,fish lk.,Upper North Fork Little Butte Creek (171003070801),1979-10-01,2023-11-28,42.38,-122.35,1420,Jackson,479,2023-04-08,444.5,883.9,11.7,0.8,4.2,0,42.38
SNTL,OR,gold center,Bull Run Creek (170702020202),1979-10-01,2023-11-28,44.76,-118.31,1649,Grant,494,2023-04-06,442,520.7,7.1,-4.1,1.5,0,44.76
SNTL,OR,holland meadows,Layng Creek (170900020201),1979-10-01,2023-11-28,43.67,-122.57,1503,Lane,529,2023-04-22,1452.9,1511.3,13.9,4,7.5,2.5,43.67
SNTL,OR,king mountain,Whitehorse Creek-Cow Creek (171003020701),1979-10-01,2023-11-28,42.72,-123.2,1323,Jackson,558,2023-04-06,469.9,1168.4,5.2,2.1,3.3,15.2,42.72
SNTL,OR,madison butte,Chapin Creek-Rock Creek (170702041101),1979-10-01,2023-11-28,45.11,-119.5,1570,Morrow,608,2023-04-06,256.5,322.6,7.1,-0.8,3,0,45.11
SNTL,OR,marion forks,Minto Creek-North Santiam River (170900050205),1979-10-01,2023-11-28,44.59,-121.97,789,Linn,614,2023-04-07,452.1,1270,6.4,0.4,3,5.1,44.59
SNTL,OR,mckenzie,White Branch (170900040207),1979-10-01,2023-11-28,44.21,-121.87,1454,Lane,619,2023-04-22,1056.6,1658.6,15.2,1,6.6,2.5,44.21
SNTL,OR,moss springs,Mill Creek (170601040702),1979-10-01,2023-11-28,45.27,-117.69,1756,Union,647,2023-04-25,833.1,970.3,9.1,-1.9,2.5,0,45.27
SNTL,OR,mt hood test site,Upper Salmon River (170800010302),1979-10-01,2023-11-28,45.32,-121.72,1637,Clackamas,651,2023-04-25,1582.4,1935.5,11,-2.1,4.2,0,45.32
SNTL,OR,mt. howard,Upper Prairie Creek (170601050102),1979-10-01,2023-11-28,45.27,-117.17,2411,Wallowa,653,2023-04-25,535.9,886.5,6.6,-3.2,0.6,0,45.27
SNTL,OR,new crescent lake,Upper Crescent Creek (170703020205),1979-10-01,2023-11-28,43.51,-121.98,1497,Klamath,660,2023-04-08,612.1,797.6,10,-2.4,3,0,43.51
SNTL,OR,ochoco meadows,Headwaters Ochoco Creek (170703050201),1979-10-01,2023-11-28,44.43,-120.33,1655,Crook,671,2023-04-06,444.5,541,8.2,-1.7,2.2,5.08,44.43
SNTL,OR,peavine ridge,Cot Creek-Oat Grove Fork Clackamas River (170900110306),1979-10-01,2023-11-28,45.04,-121.93,1042,Clackamas,687,2023-04-06,558.8,1115.1,7.9,1.4,4.4,7.6,45.04
SNTL,OR,quartz mountain,Middle South Fork Sprague River (180102020404),1979-10-01,2023-11-28,42.32,-120.83,1743,Lake,706,2023-03-29,208.3,406.4,4.7,-8.9,-2.2,2.5,42.32
SNTL,OR,roaring river,Roaring River-South Fork McKenzie River (170900040302),1979-10-01,2023-11-28,43.9,-122.03,1509,Lane,719,2023-04-22,1038.9,1407.2,14.3,1.9,7.6,0,43.9
SNTL,OR,rock springs,Calamity Creek (170501160204),1979-10-01,2023-11-28,44.01,-118.84,1612,Grant,721,2023-04-01,269.2,363.2,5,-2.8,0.1,5.1,44.01
SNTL,OR,salt creek falls,Upper Salt Creek (170900010301),1979-10-01,2023-11-28,43.61,-122.12,1286,Lane,729,2023-04-22,901.7,1366.5,11.4,2,4.9,0,43.61
SNTL,OR,seine creek,Sain Creek-Scoggins Creek (170900100203),1979-10-01,2023-11-28,45.53,-123.3,628,Washington,743,2023-03-11,170.2,1214.1,5.9,0.6,2.4,0,45.53
SNTL,OR,sevenmile marsh,Sevenmile Creek (180102030104),1979-10-01,2023-11-28,42.7,-122.14,1737,Klamath,745,2023-04-22,1198.9,1455.4,12.6,1.3,5.4,0,42.7
SNTL,OR,silver creek,West Fork Silver Creek (171200050206),1979-10-01,2023-11-28,42.96,-121.18,1750,Lake,756,2023-04-07,477.5,535.9,8.1,-0.2,2.4,5.1,42.96
SNTL,OR,starr ridge,Starr Creek-Silvies River (171200020102),1979-10-01,2023-11-28,44.26,-119.02,1600,Grant,789,2023-04-05,269.2,360.7,5.1,-9.9,-2.6,2.5,44.26
SNTL,OR,strawberry,Barnes Valley Creek (180102040501),1979-10-01,2023-11-28,42.13,-120.84,1759,Lake,794,2023-03-30,370.8,472.4,4,-8.7,-2.3,2.5,42.13
SNTL,OR,three creeks meadow,Three Creek (170703010601),1979-10-01,2023-11-28,44.14,-121.64,1734,Deschutes,815,2023-04-07,480.1,789.9,7.1,-0.9,2.5,0,44.14
SNTL,UT,beaver dams,Headwaters Twelvemile Creek (160300040402),1980-06-01,2023-11-28,39.14,-111.56,2435,Sanpete,329,2023-04-07,513.1,581.7,11.6,-7.1,3,0,39.14
SNTL,UT,ben lomond trail,Cutler Creek-North Fork Ogden River (160201020302),1980-06-01,2023-11-28,41.38,-111.92,1820,Weber,333,2023-04-09,1193.8,1160.8,14.3,-0.7,5.8,0,41.38
SNTL,UT,black flat-u.m. ck,U M Creek (140700030101),1980-06-01,2023-11-28,38.68,-111.6,2869,Sevier,348,2023-04-09,444.5,431.8,12.1,-4.9,3.1,0,38.68
SNTL,UT,castle valley,Upper Mammoth Creek (160300010201),1980-06-01,2023-11-28,37.66,-112.74,2928,Iron,390,2023-04-08,690.9,599.4,11.6,-5,2.3,0,37.66
SNTL,UT,chepeta,East Fork Whiterocks River (140600031202),1980-07-01,2023-11-28,40.77,-110.01,3200,Duchesne,396,2023-04-17,571.5,561.3,9.3,-4.9,2.5,0,40.77
SNTL,UT,farnsworth lake,Gooseberry Creek (160300030405),1980-07-01,2023-11-28,38.77,-111.68,2933,Sevier,475,2023-04-26,713.7,670.6,7.7,-4,2,0,38.77
SNTL,UT,five points lake,Garfield Creek (140600030701),1980-08-01,2023-11-28,40.72,-110.47,3335,Duchesne,481,2023-04-26,690.9,622.3,7.8,-6.4,0.7,0,40.72
SNTL,UT,kimberly mine,Mill Creek (160300030104),1980-07-01,2023-11-28,38.48,-112.39,2774,Piute,557,2023-04-07,642.6,731.5,12.3,-7.7,1.7,0,38.48
SNTL,UT,lasal mountain,Horse Creek-Mill Creek (140300050404),1980-08-01,2023-11-28,38.48,-109.27,2919,San Juan,572,2023-04-08,665.5,739.1,9.3,-0.5,3.5,0,38.48
SNTL,UT,lily lake,Willow Creek-Bear River (160101010103),1980-06-01,2023-11-28,40.86,-110.8,2784,Summit,579,2023-04-26,447,480.1,9.3,-6.6,1.7,0,40.86
SNTL,UT,merchant valley,Merchant Creek (160300070201),1980-07-01,2023-11-28,38.3,-112.44,2653,Beaver,621,2023-04-09,718.8,678.2,13.8,-3,4.6,0,38.3
SNTL,UT,midway valley,Midway Valley-Midway Creek (160300010101),1980-07-01,2023-11-28,37.57,-112.84,2995,Iron,626,2023-04-17,1270,1092.2,9.7,-0.1,4.7,0,37.57
SNTL,UT,payson r.s.,Peteetneet Creek (160202020601),1980-06-01,2023-11-28,39.93,-111.63,2452,Utah,686,2023-04-07,853.4,787.4,9.1,-6.2,2.2,0,39.93
SNTL,UT,rock creek,South Fork Rock Creek (140600030304),1980-06-01,2023-11-28,40.55,-110.69,2404,Duchesne,720,2023-04-09,363.2,414,12.7,-1.1,5.5,0,40.55
SNTL,UT,rocky basin-settleme,Settlement Canyon (160203040401),1980-06-01,2023-11-28,40.44,-112.22,2653,Tooele,723,2023-04-11,1176,1061.7,16.6,5.9,9.6,0,40.44
SNTL,UT,webster flat,Upper Deep Creek (150100080101),1980-07-01,2023-11-28,37.58,-112.9,2805,Iron,853,2023-04-08,901.7,850.9,10.8,-2.1,3.6,0,37.58
SNTL,WA,blewett pass,Upper Peshastin Creek (170200110501),1979-10-01,2023-11-28,47.35,-120.68,1292,Chelan,352,2023-03-21,335.3,619.8,5.6,-1.5,1.2,0,47.35
SNTL,WA,bunchgrass mdw,Harvey Creek (170102160401),1979-10-01,2023-11-28,48.69,-117.18,1524,Pend Oreille,376,2023-04-25,650.2,830.6,10.2,-0.4,4.1,0,48.69
SNTL,WA,corral pass,Silver Creek-White River (171100140307),1979-10-01,2023-11-28,47.02,-121.46,1768,Pierce,418,2023-04-24,1066.8,1041.4,5.4,-2.1,-0.1,5.1,47.02
SNTL,WA,cougar mountain,North Fork Green River (171100130202),1979-10-01,2023-11-28,47.28,-121.67,975,King,420,2023-04-08,518.2,1610.4,5,0.9,3.1,7.6,47.28
SNTL,WA,fish lake,Headwaters Cle Elum River (170300010102),1979-10-01,2023-11-28,47.54,-121.09,1045,Kittitas,478,2023-04-07,624.8,947.4,6.6,0.4,3.2,10.2,47.54
SNTL,WA,grouse camp,Upper Naneum Creek (170300010401),1979-10-01,2023-11-28,47.28,-120.49,1643,Kittitas,507,2023-04-21,520.7,690.9,3.5,-3,0.1,0,47.28
SNTL,WA,harts pass,Upper Canyon Creek (171100050501),1979-10-01,2023-11-28,48.72,-120.66,1978,Okanogan,515,2023-04-27,1361.4,777.2,13.2,-1.4,5.3,0,48.72
SNTL,WA,olallie meadows,Upper South Fork Snoqualmie River (171100100301),1979-10-01,2023-11-28,47.37,-121.44,1228,King,672,2023-04-23,1531.6,2087.9,6.4,0.9,2.9,12.7,47.37
SNTL,WA,paradise,Headwaters Nisqually River (171100150104),1979-10-01,2023-11-28,46.78,-121.75,1564,Pierce,679,2023-04-29,1905,2697.5,19.9,8.7,14.1,0,46.78
SNTL,WA,pigtail peak,Clear Creek (170300020301),1979-10-01,2023-11-28,46.62,-121.39,1768,Yakima,692,2023-04-23,1125.2,1371.6,5.6,-1.1,1.9,10.2,46.62
SNTL,WA,pope ridge,Lake Creek-Entiat River (170200100204),1979-10-01,2023-11-28,47.99,-120.57,1094,Chelan,699,2023-03-20,510.5,607.1,6.1,1.6,3.6,0,47.99
SNTL,WA,rainy pass,Upper Granite Creek (171100050503),1979-10-01,2023-11-28,48.52,-120.74,1490,Chelan,711,2023-04-10,820.4,929.6,2.4,-0.2,1.1,7.6,48.52
SNTL,WA,salmon meadows,North Fork Salmon Creek (170200062003),1979-10-01,2023-11-28,48.66,-119.84,1359,Okanogan,728,2023-04-08,345.4,386.1,6.3,-2.1,1.4,0,48.66
SNTL,WA,stampede pass,Sunday Creek (171100130103),1979-10-01,2023-11-28,47.27,-121.34,1173,King,788,2023-04-24,919.5,1320.8,3.7,0,1.6,7.6,47.27
SNTL,WA,stevens pass,Upper Tye River (171100090102),1979-10-01,2023-11-28,47.75,-121.09,1204,King,791,2023-04-10,1016,1150.6,4.3,0.6,2.2,7.6,47.75
SNTL,WA,touchet,Wolf Creek (170701020303),1979-10-01,2023-11-28,46.12,-117.85,1686,Columbia,824,2023-04-10,878.8,990.6,18.2,2.5,9,2.5,46.12
SNTL,WA,upper wheeler,Stemilt Creek (170200100310),1979-10-01,2023-11-28,47.29,-120.37,1320,Chelan,841,2023-04-07,353.1,635,5.9,0.3,2.9,12.7,47.29
SNTL,WA,white pass e.s.,Clear Creek (170300020301),1979-10-01,2023-11-28,46.64,-121.38,1353,Yakima,863,2023-04-23,673.1,889,6.7,0.9,2.9,5.1,46.64
SNTL,WY,base camp,Berry Creek (170401010304),1979-10-01,2023-11-28,43.94,-110.45,2152,Teton,314,2023-04-07,513.1,533.4,8.5,-14.6,-2.3,0,43.94
SNTL,WY,bear trap meadow,Upper North Fork Red Fork Powder River (100902010205),1979-10-01,2023-11-28,43.89,-107.06,2499,Johnson,325,2023-04-07,256.5,251.5,9,-5.2,1.7,2.5,43.89
SNTL,WY,beartooth lake,Beartooth Creek (100700060206),1979-10-01,2023-11-28,44.94,-109.57,2853,Park,326,2023-04-29,541,515.6,13.8,-1.9,5.2,2.5,44.94
SNTL,WY,blackwater,Lower Elk Fork (100800120209),1979-10-01,2023-11-28,44.38,-109.79,2981,Park,350,2023-04-29,614.7,627.4,13.3,1.2,6.5,0,44.38
SNTL,WY,burgess junction,Lower East Fork Big Goose Creek (100901010202),1979-10-01,2023-11-28,44.79,-107.53,2402,Sheridan,377,2023-04-30,340.4,383.5,13.7,-0.4,5.6,0,44.79
SNTL,WY,divide peak,Cottonwood Creek-Little Snake River (140500030203),1979-10-01,2023-11-28,41.3,-107.15,2661,Carbon,449,2023-04-30,762,807.7,14.7,4.2,9.7,0,41.3
SNTL,WY,evening star,Table Creek-Clarks Fork Yellowstone River (100700060301),1979-10-01,2023-11-28,44.65,-109.78,2804,Park,472,2023-04-24,721.4,782.3,9.7,-2.9,1.3,10.2,44.65
SNTL,WY,hansen sawmill,Upper South Clear Creek (100902060101),1979-10-01,2023-11-28,44.26,-106.98,2548,Johnson,512,2023-04-08,241.3,246.4,9.2,-2.3,1.6,0,44.26
SNTL,WY,indian creek,Middle Dry Muddy Creek (140401070502),1979-10-01,2023-11-28,42.3,-110.68,2873,Lincoln,544,2023-04-27,777.2,673.1,8.4,-5.5,1.5,0,42.3
SNTL,WY,kirwin,Bonne Creek-Greybull River (100800090101),1979-10-01,2023-11-28,43.86,-109.32,2911,Park,560,2023-04-29,304.8,373.4,16,-1.8,5.4,0,43.86
SNTL,WY,loomis park,Tosi Creek (140401010201),1979-10-01,2023-11-28,43.17,-110.14,2512,Sublette,597,2023-04-11,444.5,442,11.1,-4.8,2.3,0,43.17
SNTL,WY,marquette,Carter Creek-South Fork Shoshone River (100800130303),1979-10-01,2023-11-28,44.3,-109.24,2670,Park,616,2023-04-09,256.5,271.8,9,-0.4,4.2,0,44.3
SNTL,WY,owl creek,Dry Cottonwood Creek (100800070103),1979-10-01,2023-11-28,43.66,-109.01,2736,Hot Springs,676,2023-04-08,223.5,233.7,8.6,-2.8,1.5,0,43.66
SNTL,WY,parker peak,Sour Creek (100700010502),1979-10-01,2023-11-28,44.73,-109.91,2865,Park,683,2023-05-01,756.9,680.7,18.6,4.5,10.4,0,44.73
SNTL,WY,reno hill,Mountain Home Number 1 Reservoir-North Platte River (101800070901),1979-10-01,2023-11-28,42.57,-106.09,2569,Natrona,716,2023-04-08,434.3,444.5,7.7,-1.8,1.9,0,42.57
SNTL,WY,sand lake,Turpin Creek-Medicine Bow River (101800040101),1979-10-01,2023-11-28,41.46,-106.28,3078,Carbon,731,2023-04-30,795,802.6,11.2,-2.7,3.7,0,41.46
SNTL,WY,snider basin,Upper South Piney Creek (140401010906),1980-09-01,2023-11-28,42.49,-110.53,2457,Sublette,765,2023-04-09,414,421.6,10.3,-3,3.9,0,42.49
SNTL,WY,townsend creek,Sand Creek (100800030203),1979-10-01,2023-11-28,42.7,-108.9,2652,Fremont,826,2023-04-28,363.2,426.7,10.8,-11.1,1.1,2.5,42.7
SNTL,WY,two ocean plateau,De Lacy Creek (170401010201),1979-10-01,2023-11-28,44.15,-110.22,2816,Teton,837,2023-04-29,899.2,762,14.7,-3.9,5,0,44.15
SNTL,WY,willow creek,Tygee Creek (170401050204),1979-10-01,2023-11-28,42.82,-110.84,2463,Lincoln,868,2023-04-27,1028.7,1021.1,13.2,-3.4,3.3,0,42.82
SNTL,WY,windy peak,Middle Bear Creek (101800080802),1979-10-01,2023-11-28,42.28,-105.58,2412,Albany,872,2023-04-10,317.5,330.2,12.2,-0.1,7.2,0,42.28
SNTL,WY,wolverine,Crazy Creek (100700060104),1979-10-01,2023-11-28,44.8,-109.66,2332,Park,875,2023-04-08,350.5,330.2,8.7,-1.6,2,0,44.8
SNTL,WY,younts peak,East Fork Creek (100800130103),1979-10-01,2023-11-28,43.93,-109.82,2545,Park,878,2023-04-08,436.9,353.1,6.8,-1.3,1.7,0,43.93
SNTL,AZ,coronado trail,Coleman Creek (150400040501),1978-10-01,2023-11-28,33.8,-109.15,2566,Apache,416,2023-03-06,144.8,320,12,-4.8,2.7,0,33.8
SNTL,AZ,fry,Fry Canyon (150602020501),1978-10-01,2023-11-28,35.07,-111.84,2206,Coconino,488,2023-03-05,553.7,581.7,8.2,-5,1.9,0,35.07
SNTL,CA,ebbetts pass,Silver Creek (160502010104),1978-10-01,2023-11-28,38.55,-119.8,2640,Alpine,462,2023-05-10,1971,2098,8.3,-2.3,2.7,2.5,38.55
SNTL,CA,hagans meadow,Trout Creek (160501010302),1978-10-01,2023-11-28,38.85,-119.94,2360,El Dorado,508,2023-04-09,1270,1216.7,15.6,-2.3,4.8,0,38.85
SNTL,CA,heavenly valley,Trout Creek (160501010302),1978-10-01,2023-11-28,38.92,-119.92,2601,El Dorado,518,2023-04-10,1478.3,1394.5,13.2,1.8,6.9,0,38.92
SNTL,CA,independence camp,Independence Creek (160501020102),1978-10-01,2023-11-28,39.45,-120.29,2128,Sierra,539,2023-04-12,1346.2,873.8,6.6,-3.4,2,0,39.45
SNTL,CA,independence lake,Sagehen Creek (160501020104),1978-10-01,2023-11-28,39.43,-120.31,2541,Nevada,541,2023-05-13,2001.5,1778,15.2,5.2,9.7,0,39.43
SNTL,CA,lobdell lake,Deep Creek (160503020201),1978-10-01,2023-11-28,38.44,-119.37,2819,Mono,587,2023-04-11,1323.3,1087.1,9.3,-0.2,4.5,0,38.44
SNTL,CA,sonora pass,Leavitt Creek-West Walker River (160503020104),1978-10-01,2023-11-28,38.31,-119.6,2673,Mono,771,2023-04-08,1470.7,1460.5,9.1,-2.8,2.8,0,38.31
SNTL,CA,virginia lakes ridge,Virginia Creek (160503010103),1978-10-01,2023-11-28,38.07,-119.23,2865,Mono,846,2023-04-08,1381.8,1183.6,8.1,-3,2.2,0,38.07
SNTL,CO,burro mountain,North Elk Creek (140500050302),1978-10-01,2023-11-28,39.88,-107.6,2840,Rio Blanco,378,2023-04-09,579.1,675.6,10,-4.2,2.6,0,39.88
SNTL,CO,columbine,Upper Grizzly Creek (101800010102),1978-10-01,2023-11-28,40.4,-106.6,2794,Jackson,408,2023-04-05,787.4,696,-3.8,-16.2,-10.7,0,40.4
SNTL,CO,copper mountain,West Tenmile Creek (140100020302),1978-10-01,2023-11-28,39.49,-106.17,3207,Summit,415,2023-04-29,398.8,393.7,11.8,-6.3,2.9,0,39.49
SNTL,CO,culebra #2,Headwaters Culebra Creek (130100020902),1978-10-01,2023-11-28,37.21,-105.2,3219,Costilla,430,2023-04-08,358.1,325.1,9,-6.6,0,0,37.21
SNTL,CO,deadman hill,Lower Dale Creek (101900070502),1978-10-01,2023-11-28,40.81,-105.77,3121,Larimer,438,2023-05-01,551.2,546.1,14,-2,5.5,0,40.81
SNTL,CO,elk river,Steamboat Lake (140500010206),1978-10-01,2023-11-28,40.85,-106.97,2664,Routt,467,2023-04-09,749.3,711.2,9,-3.2,2.6,0,40.85
SNTL,CO,joe wright,Joe Wright Creek (101900070204),1978-10-01,2023-11-28,40.53,-105.89,3096,Larimer,551,2023-05-01,716.3,787.4,16.8,-2.3,5.2,0,40.53
SNTL,CO,lake eldora,Middle Boulder Creek (101900050402),1978-10-01,2023-11-28,39.94,-105.59,2965,Boulder,564,2023-04-08,287,378.5,8.3,-0.7,2.5,2.5,39.94
SNTL,CO,lake irene,Headwaters Colorado River (140100010302),1978-10-01,2023-11-28,40.41,-105.82,3256,Grand,565,2023-04-29,718.8,678.2,10.5,-7.4,1.4,0,40.41
SNTL,CO,mineral creek,Mineral Creek (140801040103),1978-10-01,2023-11-28,37.85,-107.73,3062,San Juan,629,2023-04-09,485.1,553.7,8.8,-8,-0.1,0,37.85
SNTL,CO,park reservoir,Surface Creek (140200050111),1978-10-01,2023-11-28,39.04,-107.88,3044,Delta,682,2023-04-30,1254.8,1239.5,12.1,-3.8,4.2,0,39.04
SNTL,CO,porphyry creek,Porphyry Creek-Tomichi Creek (140200030105),1978-10-01,2023-11-28,38.49,-106.34,3288,Gunnison,701,2023-04-02,510.5,472.4,4.5,-7,-1.2,0,38.49
SNTL,CO,tower,Fish Creek (140500010407),1978-10-01,2023-11-28,40.54,-106.68,3237,Routt,825,2023-05-15,1427.5,1440.2,10.3,2.1,5,0,40.54
SNTL,CO,university camp,North Boulder Creek (101900050401),1978-10-01,2023-11-28,40.03,-105.58,3158,Boulder,838,2023-04-30,477.5,569,12.4,-0.9,4.9,0,40.03
SNTL,CO,upper san juan,Wolf Creek (140801010203),1978-10-01,2023-11-28,37.49,-106.84,3091,Mineral,840,2023-04-10,1216.7,1135.4,15.4,-7.3,3.7,0,37.49
SNTL,CO,vail mountain,Middle Gore Creek (140100030102),1978-10-01,2023-11-28,39.62,-106.38,3142,Eagle,842,2023-04-11,551.2,505.5,12.7,4.2,8.4,0,39.62
SNTL,CO,willow creek pass,Upper Willow Creek (140100010102),1978-10-01,2023-11-28,40.35,-106.1,2903,Grand,869,2023-04-29,518.2,497.8,11.4,-7.8,2.4,0,40.35
SNTL,ID,atlanta summit,Bald Mountain Creek-Middle Fork Boise River (170501110204),1978-10-01,2023-11-28,43.76,-115.24,2310,Elmore,306,2023-04-26,1031.2,977.9,15.8,0.5,7.3,0,43.76
SNTL,ID,cozy cove,Deadwood River-Deadwood Reservoir (170501200403),1978-10-01,2023-11-28,44.29,-115.66,1646,Valley,423,2023-04-08,520.7,665.5,12.2,-1.8,3.5,2.5,44.29
SNTL,ID,deadwood summit,Stratton Creek-Deadwood River (170501200401),1978-10-01,2023-11-28,44.55,-115.56,2091,Valley,439,2023-04-27,1153.2,1079.5,13.9,-1.8,5,0,44.55
SNTL,ID,franklin basin,Upper Cub River (160102020501),1978-10-01,2023-11-28,42.05,-111.6,2481,Franklin,484,2023-04-26,1178.6,1127.8,13.6,-3.6,3,17.8,42.05
SNTL,ID,galena summit,Headwaters Big Wood River (170402190101),1978-10-01,2023-11-28,43.87,-114.71,2676,Blaine,490,2023-04-24,673.1,657.9,7.3,-4.8,-0.5,2.5,43.87
SNTL,ID,graham guard sta.,Big Silver Creek-North Fork Boise River (170501110303),1978-10-01,2023-11-28,43.95,-115.27,1734,Elmore,496,2023-04-07,444.5,614.7,12.4,-9.4,0.7,2.5,43.95
SNTL,ID,howell canyon,Howell Creek (170402090602),1978-10-01,2023-11-28,42.32,-113.62,2432,Cassia,534,2023-04-11,889,942.3,15,3.5,8.1,0,42.32
SNTL,ID,humboldt gulch,Canyon Creek-Upper South Fork Coeur d'Alene River (170103020102),1978-10-01,2023-11-28,47.53,-115.78,1295,Shoshone,535,2023-04-08,434.3,673.1,10.4,0.8,4.1,0,47.53
SNTL,ID,lookout,Little North Fork South Fork Coeur d'Alene River-South Fork Coeur d'Alene River (170103020101),1978-10-01,2023-11-28,47.46,-115.7,1582,Shoshone,594,2023-04-08,660.4,726.4,7.5,-0.5,3.3,0,47.46
