network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id,date,snow_water_equivalent,precipitation_cumulative,temperature_max,temperature_min,temperature_mean,precipitation,latitude_copy
SNTL,NV,draw creek,Upper T Creek (160401010403),1983-10-01,2023-11-28,41.66,-115.32,2235,Elko,454,2023-04-09,500.4,525.8,11.8,-0.6,5.3,0,41.66
SNTL,WA,sasse ridge,Upper Cle Elum River (170300010104),1983-10-01,2023-11-28,47.38,-121.06,1323,Kittitas,734,2023-04-07,779.8,975.4,8.1,-0.4,3.1,2.5,47.38
SNTL,WA,spirit lake,Headwaters North Fork Toutle River (170800050502),1983-10-01,2023-11-28,46.26,-122.18,1073,Skamania,777,2023-04-07,706.1,1831.3,9.9,1.5,3.9,10.2,46.26
SNTL,WY,st. lawrence alt,Middle North Fork Little Wind River (100800020105),1983-10-01,2023-11-28,43.03,-109.17,2627,Fremont,786,2023-04-09,228.6,284.5,11,-5.2,3.7,0,43.03
SNTL,ID,elk butte,Upper Elk Creek (170603080701),1982-10-01,2023-11-28,46.84,-116.12,1734,Clearwater,466,2023-04-26,944.9,889,12.8,2.8,7,2.5,46.84
SNTL,ID,hemlock butte,French Creek (170603070601),1982-10-01,2023-11-28,46.48,-115.63,1771,Clearwater,520,2023-04-27,1491,820.4,12.4,3.5,7.4,0,46.48
SNTL,ID,lolo pass,West Fork Lolo Creek (170102051401),1982-10-01,2023-11-28,46.63,-114.58,1597,Idaho,588,2023-04-09,629.9,670.6,13.1,-1.5,6.3,0,46.63
SNTL,ID,savage pass,Lower Colt Killed Creek (170603030208),1982-10-01,2023-11-28,46.47,-114.63,1887,Idaho,735,2023-04-26,696,731.5,13.9,-2.8,4.8,0,46.47
SNTL,ID,shanghi summit,Quartz Creek (170603060402),1982-10-01,2023-11-28,46.57,-115.74,1402,Clearwater,747,2023-04-09,734.1,878.8,13,4.6,8.5,2.5,46.57
SNTL,MT,dupuyer creek,Upper Dupuyer Creek (100302010501),1982-10-01,2023-11-28,48.06,-112.76,1753,Teton,458,2023-04-24,279.4,416.6,12.8,3.4,6.7,0,48.06
SNTL,UT,lakefork basin,Ottoson Creek-Lake Fork Creek (140600030601),1982-10-01,2023-11-28,40.74,-110.62,3318,Duchesne,513,2023-04-26,812.8,772.2,7.3,-5.6,0.3,0,40.74
SNTL,NV,hole-in-mountain,Winchell Creek-The Slough (160600071602),1981-10-01,2023-11-28,40.94,-115.1,2488,Elko,527,2023-04-26,977.9,1054.1,11.8,-1.6,5.6,0,40.94
SNTL,WA,green lake,Headwaters North Fork Ahtnum Creek (170300030101),1981-10-01,2023-11-28,46.55,-121.17,1804,Yakima,502,2023-04-23,769.6,891.5,8.6,-1.1,3,5.1,46.55
SNTL,CA,blue lakes,Deer Creek (180400120101),1980-10-01,2023-11-28,38.61,-119.92,2459,Alpine,356,2023-04-10,1889.8,1625.6,12.8,-1.7,5.7,0,38.61
SNTL,CA,css lab,Rattlesnake Creek-South Yuba River (180201250602),1980-10-01,2023-11-28,39.33,-120.37,2101,Nevada,428,2023-04-09,1968.5,2103.1,15.9,-0.5,6.3,0,39.33
SNTL,CA,echo peak,Upper Truckee River-Frontal Lake Tahoe (160501010303),1980-10-01,2023-11-28,38.85,-120.08,2333,El Dorado,463,2023-03-31,2283.5,2148.8,2.5,-6,-1.4,0,38.85
SNTL,CA,independence creek,Independence Creek (160501020102),1980-10-01,2023-11-28,39.49,-120.28,1962,Sierra,540,2023-04-09,665.5,883.9,17.6,-2.1,6.9,0,39.49
SNTL,CA,leavitt meadows,Leavitt Creek-West Walker River (160503020104),1980-10-01,2023-11-28,38.3,-119.55,2194,Mono,575,2023-03-22,1003.3,1320.8,4.1,-7.6,-1.5,7.6,38.3
SNTL,CA,poison flat,Bryant Creek-East Fork Carson River (160502010102),1980-10-01,2023-11-28,38.51,-119.63,2358,Alpine,697,2023-04-09,1498.6,1275.1,13.6,-2.2,5.2,0,38.51
SNTL,CA,rubicon #2,General Creek-Frontal Lake Tahoe (160501010402),1980-10-01,2023-11-28,39,-120.13,2322,El Dorado,724,2023-03-29,1516.4,1458,1,-10.7,-4.2,0,39
SNTL,CA,tahoe city cross,Burton Creek-Frontal Lake Tahoe (160501010101),1980-10-01,2023-11-28,39.17,-120.15,2072,Placer,809,2023-04-06,891.5,1379.2,10.4,-3.6,3.1,0,39.17
SNTL,CA,truckee #2,Martis Creek (160501020204),1980-10-01,2023-11-28,39.3,-120.18,1984,Placer,834,2023-04-08,965.2,1239.5,13,0.7,5.9,0,39.3
SNTL,NV,berry creek,Berry Creek (160600081301),1980-10-01,2023-11-28,39.32,-114.62,2858,White Pine,334,2023-04-10,807.7,701,12.1,-0.6,6.5,0,39.32
SNTL,NV,big creek sum,Big Creek (160401070303),1980-10-01,2023-11-28,39.29,-117.12,2647,Lander,337,2023-04-09,980.4,744.2,15.7,3,8.5,0,39.29
SNTL,NV,buckskin lower,Cabin Creek-Martin Creek (160401090502),1980-10-01,2023-11-28,41.75,-117.53,2112,Humboldt,373,2023-04-09,553.7,530.9,13.5,1,7.7,0,41.75
SNTL,NV,disaster peak,Sage Creek (160402010201),1980-10-01,2023-11-28,41.97,-118.19,1908,Humboldt,445,2023-04-06,391.2,487.7,7.2,-2.4,2.8,2.5,41.97
SNTL,NV,fawn creek,Fawn Creek-Owyhee River (170501040304),1980-10-01,2023-11-28,41.82,-116.1,2143,Elko,476,2023-04-08,614.7,543.6,7.2,-1.4,3.3,0,41.82
SNTL,NV,granite peak,Indian Creek (160401090601),1980-10-01,2023-11-28,41.67,-117.57,2592,Humboldt,498,2023-04-09,967.7,731.5,10,1.5,5.4,0,41.67
SNTL,NV,green mountain,Corral Creek (160401030401),1980-10-01,2023-11-28,40.38,-115.53,2495,Elko,503,2023-04-07,939.8,873.8,8.2,0.1,3,0,40.38
SNTL,NV,lamance creek,Lamance Creek-Big Cottonwood Creek (160401090603),1980-10-01,2023-11-28,41.52,-117.63,1949,Humboldt,569,2023-04-08,449.6,609.6,10.9,0.7,5.9,0,41.52
SNTL,NV,lamoille #3,Thomas Creek-Lamoille Creek (160401010607),1980-10-01,2023-11-28,40.64,-115.38,2454,Elko,570,2023-04-08,754.4,772.2,7.9,-2.1,3,0,40.64
SNTL,NV,mt rose ski area,Hidden Valley-Steamboat Creek (160501020304),1980-10-01,2023-11-28,39.32,-119.89,2683,Washoe,652,2023-04-09,1877.1,1932.9,13.9,1.6,7.4,0,39.32
SNTL,NV,taylor canyon,Upper Taylors Canyon Creek (170501050105),1980-10-01,2023-11-28,41.23,-116.03,1928,Elko,811,2023-04-10,439.4,274.3,15.7,0.1,6.2,0,41.23
SNTL,NV,ward mountain,Holt Creek (150100110105),1980-10-01,2023-11-28,39.13,-114.96,2793,White Pine,849,2023-04-09,703.6,685.8,10.8,-0.1,5.5,0,39.13
SNTL,OR,aneroid lake #2,West Fork Wallowa River-Wallowa River (170601050101),1980-10-01,2023-11-28,45.21,-117.19,2256,Wallowa,302,2023-04-24,696,632.5,1.8,-2.9,-1.4,2.5,45.21
SNTL,OR,railroad overpass,Middle Salt Creek (170900010302),1980-10-01,2023-11-28,43.66,-122.21,817,Lane,710,2023-03-15,88.9,777.2,4.8,-0.2,1.5,0,43.66
SNTL,OR,schneider meadows,Clear Creek (170502010603),1980-10-01,2023-11-28,45,-117.17,1646,Baker,736,2023-04-25,960.1,983,12,-2.6,3.6,0,45
